Fecha,Ubicación,ID,Macollos,Circ,HV,HS,HT,LV,LS,LT,VV,VS,VT,LyV,Fenologia,,,,,,,,,,,,
1,10 C,190,56,43,3,0,3,9,0,9,0,0,0,9,1,,,,,,,,,,,,
1,10 C,180,54,31,3,0,3,12.7,0,12.7,2.3,0,2.3,15,1,,,,,,,,,,,,
1,10 L,127,204,54,4,0,4,9.6,0,9.6,3.4,0,3.4,13,1,,,,,,,,,,,,
1,10 L,131,115,51,3,0,3,4.6,0,4.6,3.6,0,3.6,8.2,1,,,,,,,,,,,,
1,10 D,186,5,12.2,5,0,5,1.5,0,1.5,0.9,0,0.9,2.4,1,,,,,,,,,,,,
1,10 D,128,5,16.6,4,0,4,8.4,0,8.4,0.7,0,0.7,9.1,1,,,,,,,,,,,,
1,24 D,130,7,18.5,3,0,3,7.8,0,7.8,1.3,0,1.3,9.1,1,,,,,,,,,,,,
1,24 D,134,15,24,5,0,5,10.4,0,10.4,1,0,1,11.4,1,,,,,,,,,,,,
1,24 C,166,36,42,3,0,3,7.9,0,7.9,1.8,0,1.8,9.7,1,,,,,,,,,,,,
1,24 C,164,78,52.3,3,0,3,5.3,0,5.3,2,0,2,7.3,1,,,,,,,,,,,,
1,24 L,169,77,39.4,3,0,3,4.6,0,4.6,2.6,0,2.6,7.2,1,,,,,,,,,,,,
1,24 L,157,73,36.9,3,0,3,7.1,0,7.1,1.4,0,1.4,8.5,1,,,,,,,,,,,,
1,25 D,152,19,32.3,2,0,2,3.6,0,3.6,1.3,0,1.3,4.9,1,,,,,,,,,,,,
1,25 D,232,4,19.2,3,0,3,4.6,0,4.6,1,0,1,5.6,1,,,,,,,,,,,,
1,25 C,32,29,34,3,0,3,8.4,0,8.4,1.6,0,1.6,10,1,,,,,,,,,,,,
1,25 C,34,93,43.8,3,0,3,7.2,0,7.2,2.1,0,2.1,9.3,1,,,,,,,,,,,,
1,25 L,155,52,40.6,5,0,5,7.8,0,7.8,1.7,0,1.7,9.5,1,,,,,,,,,,,,
1,25 L,41,56,38.2,3,0,3,6.5,0,6.5,1.8,0,1.8,8.3,1,,,,,,,,,,,,
1,17 D,56,13,32.4,4,0,4,6.5,0,6.5,2.6,0,2.6,9.1,1,,,,,,,,,,,,
1,17 D,55,42,23,3,0,3,5.8,0,5.8,2.1,0,2.1,7.9,1,,,,,,,,,,,,
1,17 C,66,20,289,3,0,3,6.6,0,6.6,1.5,0,1.5,8.1,1,,,,,,,,,,,,
1,17 C,75,43,38.2,3,0,3,5.9,0,5.9,1,0,1,6.9,1,,,,,,,,,,,,
1,17 L,81,34,35,3,0,3,5.4,0,5.4,1.1,0,1.1,6.5,1,,,,,,,,,,,,
1,17 L,79,108,47,3,0,3,5.7,0,5.7,2.3,0,2.3,8,1,,,,,,,,,,,,
1,L4,90,5,28,3,0,3,6.3,0,6.3,2.2,0,2.2,8.5,1,,,,,,,,,,,,
1,L4,91,4,17.8,4,0,4,5.2,0,5.2,0.9,0,0.9,6.1,1,,,,,,,,,,,,
1,23 C,337,30,36.8,2,0,2,1.9,0,1.9,1,0,1,2.9,1,,,,,,,,,,,,
1,23 C,335,82,48.6,3,0,3,8.1,0,8.1,1.1,0,1.1,9.2,1,,,,,,,,,,,,
1,23 L,351,95,56,3,0,3,4.3,0,4.3,2,0,2,6.3,1,,,,,,,,,,,,
1,23 L,346,43,54,3,0,3,5.4,0,5.4,0.8,0,0.8,6.2,1,,,,,,,,,,,,
1,L7,371,2,9,3,0,3,17.5,0,17.5,2.2,0,2.2,19.7,1,,,,,,,,,,,,
1,L7,370,18,49,4,0,4,3.1,0,3.1,3,0,3,6.1,1,,,,,,,,,,,,
1,498,362,11,24,3,0,3,7.5,0,7.5,1.4,0,1.4,8.9,1,,,,,,,,,,,,
1,495,364,11,26.2,3,0,3,4.7,0,4.7,1.6,0,1.6,6.3,1,,,,,,,,,,,,
1,397,239,4,20,2,0,2,3.7,0,3.7,1.7,0,1.7,5.4,1,,,,,,,,,,,,
1,397,367,4,15,3,0,3,4.7,0,4.7,1.4,0,1.4,6.1,1,,,,,,,,,,,,
1,394,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
1,394,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
1,L6,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
1,L6,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
2,10 L,127,267,84,4,0,4,22,1.8,23.8,1.6,0,1.6,25.4,1,,,,,,,,,,,,
2,10 L,131,175,79,5,0,5,18.9,0,18.9,3,0,3,21.9,1,,,,,,,,,,,,
2,10 C,190,77,67,5,0,5,25.5,0.6,26.1,1,0,1,27.1,1,,,,,,,,,,,,
2,10 C,180,70,41,3,0,3,27,0,27,1.2,0,1.2,28.2,1,,,,,,,,,,,,
2,10 D,186,7,22,5,0,5,22.9,0,22.9,1.3,0.4,1.7,24.6,1,,,,,,,,,,,,
2,10 D,128,4,17,5,0,5,9,0,9,0.3,0.2,0.5,9.5,1,,,,,,,,,,,Fenologï¿½a,
2,17 D,56,13,40,4,2,6,11.2,2.2,13.4,2.2,1,3.2,16.6,1,,,,,,,,,,,1,Estado vegetativo
2,17 D,55,41,42,4,0,4,14.9,0,14.9,2.6,0,2.6,17.5,1,,,,,,,,,,,2,Elongaciï¿½n
2,17 C,66,21,39,4,0,4,7.2,0,7.2,1.5,0,1.5,8.7,1,,,,,,,,,,,3,Boton
2,17 C,76,40,57,4,0,4,7.1,0,7.1,1.5,0,1.5,8.6,1,,,,,,,,,,,4,Espigazï¿½n
2,17 L,81,33,51,4,0,4,14.2,0,14.2,1.2,0,1.2,15.4,1,,,,,,,,,,,5,Antesis
2,17 L,79,132,58,4,0,4,14.5,0,14.5,1.7,0,1.7,16.2,1,,,,,,,,,,,6,Grano Lechoso
2,25 D,152,18,42,4,0,4,12.6,0,12.6,1.6,0,1.6,14.2,1,,,,,,,,,,,7,Grano Pastoso
2,25 D,232,5,27,5,0,5,8.7,0,8.7,1.89,0,1.89,10.59,1,,,,,,,,,,,8,Grano Maduro
2,25 C,32,32,62,3,1,4,1.7,2.6,4.3,1.2,0,1.2,5.5,1,,,,,,,,,,,9,Semillazï¿½n y Senescencia
2,25 C,34,81,70,4,0,4,18.1,0.3,18.4,2.5,0,2.5,20.9,1,,,,,,,,,,,,
2,25 L,155,66,62,5,0,5,15.7,0,15.7,1,0,1,16.7,1,,,,,,,,,,,,
2,25 L,41,70,39,4,0,4,14,0,14,1.7,0,1.7,15.7,1,,,,,,,,,,,,
2,24 D,130,8,32,4,0,4,16,0,16,1.6,0,1.6,17.6,3,,,,,,,,,,,,
2,24 D,184,15,40,5,1,6,10.2,0,10.2,1.4,0,1.4,11.6,1,,,,,,,,,,,,
2,24 C,166,46,79,4,0,4,16.9,4.2,21.1,1.2,0,1.2,22.3,2,,,,,,,,,,,,
2,24 C,164,99,68,4,0,4,14.7,0,14.7,1.9,0,1.9,16.6,1,,,,,,,,,,,,
2,24 L,169,90,51,3,2,5,10.2,0,10.2,0.8,0.6,1.4,11.6,2,,,,,,,,,,,,
2,24 L,167,89,62,5,0,5,18.1,3.2,21.3,1.5,0,1.5,22.8,2,,,,,,,,,,,,
2,L4,90,6,34,6,0,6,16,0,16,2.5,0,2.5,18.5,2,,,,,,,,,,,,
